"Home","Домой"
"Search entire store here...","Введите и нажмите Enter"
"Your Language:","Язык:"
"Currency:","Денежная единица:"
"Shopping cart","Корзина"
"BAG","КОРЗИНА"
"item(s)","item(s)"
"Navigation","Навигация"
"Special Price:","Специальная Цена"
"Regular Price:",""
"Newsletter","Бюлетень"
"Your email","Ваш e-mail"
"Subscribe","Подписаться"
"Sign Up","Регистрация"
"My Wishlist","Мої уподобання"
"My Wishlist (%d item)","Мої уподобання (%d)"
"My Wishlist (%d items)","Мої уподобання (%d)"
"My Account","Учетная запись"
"Cart","Картка"
"View contents of your shopping cart","Перегляд вмісту вашого кошика"
"View shopping cart","Перегляд кошика"
"Your cart is empty","Ваш кошик порожній"
"Continue to Checkout","Продовжити оформлення замовлення"
"Currency","Денежная единица"
"Language","Язык"
"Sign Up","Регистрация"
"Enter your e-mail","Введіть Ваш e-mail"
"Click to see more products from %s","Click to see more products from %s"
"Sign Up","Sign Up"
"From Twitter","From Twitter"
"Facebook","Facebook"
"Categories","Categories"
"Related Products","Related Products"
"Popular Products","Popular Products"
"Availability:",""
"Sign In","Sign In"
"Create an Account","Register"
"No tags connected to product","No tags connected to product"
"View as","View"
"Price","Price"
"Price Slider","Price Slider"
"prev","Previous"
"next","Next"
"Qty","Quantity"
"You may also be interested in the following product(s)","We recommend"
"Unable to find Product ID","Unable to find Product ID"
"%s was added to your shopping cart.","%s was added to your shopping cart."
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"Quote item is not found.","Quote item is not found."
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"Cannot update the item.","Cannot update the item."
"The product %s has been added to comparison list.","The product %s has been added to comparison list."
"Wishlist Has Been Disabled By Admin","Wishlist Has Been Disabled By Admin"
"Please Login First","Please Login First"
"Unable to Create Wishlist","Unable to Create Wishlist"
"Product Not Found","Product Not Found"
"Cannot specify product.","Cannot specify product."
"%1$s has been added to your wishlist.","%1$s has been added to your wishlist."
"An error occurred while adding item to wishlist: %s","An error occurred while adding item to wishlist: %s"
"An error occurred while adding item to wishlist.","An error occurred while adding item to wishlist."
"View Cart","View Cart"
"Continue to Checkout","Continue to Checkout"
"Edit item","Edit item"
"Remove This Item","Remove This Item"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Description","Description"
"Short Description","Short Description"
"No tags connected to product","No tags connected to product"
"You need to specify a username","You need to specify a username"
"There was an error connecting to your Twitter account","There was an error connecting to your Twitter account"
"Follow us","Follow us"
"on Twitter","on Twitter"
"On Sale","On Sale"
"New Products","New Products"
"quick view","quick view"
"WRITE YOUR REVIEW", "WRITE YOUR REVIEW"
"more...","more..."
"less...","less..."
