"Home","Додому"
"Search entire store here...","Введіть та натисніть Enter"
"Your Language:","Мова:"
"Currency:","Грошова одиниця:"
"Shopping cart","Кошик"
"BAG","КОШИК"
"item(s)","item(s)"
"Navigation","Навігація"
"Special Price:","Акційна Ціна"
"Regular Price:",""
"Newsletter","Бюлетень"
"Your email","Ваш e-mail"
"Subscribe","Підписатися"
"Sign Up","Реєстрація"
"My Wishlist","Мої уподобання"
"My Wishlist (%d item)","Мої уподобання (%d)"
"My Wishlist (%d items)","Мої уподобання (%d)"
"My Account","Обліковий запис"
"Cart","Картка"
"View contents of your shopping cart","Перегляд вмісту вашого кошика"
"View shopping cart","Перегляд кошика"
"Your cart is empty","Ваш кошик порожній"
"Continue to Checkout","Продовжити оформлення замовлення"
"Currency","Грошова одиниця"
"Language","Мова"
"Sign Up","Реєстрація"
"Enter your e-mail","Введіть Ваш e-mail"
"Click to see more products from %s","Click to see more products from %s"
"Sign Up","Sign Up"
"From Twitter","From Twitter"
"Facebook","Facebook"
"Categories","Categories"
"Related Products","Related Products"
"Popular Products","Popular Products"
"Availability:",""
"Sign In","Sign In"
"Create an Account","Новий клієнт"
"No tags connected to product","No tags connected to product"
"View as","Макет"
"Price","Ціна"
"Sort By","Сортувати"
"Price Slider","Price Slider"
"prev","Попередній"
"next","Наступний"
"Qty","Кількість"
"You may also be interested in the following product(s)","We recommend"
"Unable to find Product ID","Unable to find Product ID"
"%s was added to your shopping cart.","%s добавлено у Вашу корзину."
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"Quote item is not found.","Quote item is not found."
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"Cannot update the item.","Cannot update the item."
"The product %s has been added to comparison list.","The product %s has been added to comparison list."
"Wishlist Has Been Disabled By Admin","Wishlist Has Been Disabled By Admin"
"Please Login First","Please Login First"
"Unable to Create Wishlist","Unable to Create Wishlist"
"Product Not Found","Product Not Found"
"Cannot specify product.","Cannot specify product."
"%1$s has been added to your wishlist.","%1$s has been added to your wishlist."
"An error occurred while adding item to wishlist: %s","An error occurred while adding item to wishlist: %s"
"An error occurred while adding item to wishlist.","An error occurred while adding item to wishlist."
"View Cart","До Кошика"
"Continue to Checkout","До Замовлення"
"Edit item","Редагувати товар"
"Remove This Item","Remove This Item"
"Remove item","Видалити товар"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Description","Description"
"Short Description","Short Description"
"No tags connected to product","No tags connected to product"
"You need to specify a username","You need to specify a username"
"There was an error connecting to your Twitter account","There was an error connecting to your Twitter account"
"Follow us","Follow us"
"on Twitter","on Twitter"
"Action Products","Акційні товари"
"Featured Products","Рекомендовані товари"
"On Sale","Розпродаж"
"New Products","Нові Товари"
"quick view","quick view"
"WRITE YOUR REVIEW", "WRITE YOUR REVIEW"
"more...","more..."
"less...","less..."
"The address has been saved","Адреса була збережена"
"Please specify the product's option(s).","Будь-ласка, вкажіть колір і розмір товару."
