"Total of %d record(s) were successfully removed"," %d записей удалено"
"Total of %d record(s) were successfully marked as read"," %d записей помечены как прочитанные"
"critical","Критично"
"Last update","Последнее обновление"
"Show List","Показать список"
"Show Toolbar","Показать панель инструментов"
"Mark as Read","Пометить как прочитанное"
"Mark as read","Пометить как прочитанное"
"Error while removing. Please try again later.","Ошибка при удалении. Попробуйте позже."
"Error while marking as read. Please try again later.","Ошибка при отметке как прочитанный. Попробуйте позже."
"Error while marking. Please try again later.","Ошибка при пометке. Попробуйте позже."
"Notifications","Оповещения"
"Unable to proceed. Please, try again","Невозможно продолжить. Попробуйте еще раз"
"Severity","Строго"
"Message","Сообщение"
"Message was successfully removed","Сообщение удалено"
"Message was successfully marked as read","Сообщение помечено как прочитанное"
"Remove","Удалить"
"Update frequency","Частота обновления"
"minor","Меньший"
"Use HTTPS to get feed","Используйте HTTPS для получения сообщений"
"major","Больший"
"Messages Inbox","Входящие"
"Are you sure?","Вы уверены?"
"Please select messages","Выберите сообщения"
"notice","Внимание"
"Date Added","Дата добавления"
"Read Details","Детали"
"Actions","Действия"
