" and "," и "
"Percent","%"
"(Shift-)Click or drag to change value","(Shift-)Кликните или тяните для изменения значения"
"(\t for tab)","(t для tab)"
"(Leave empty for first spreadsheet)","(Оставьте пустым для первой таблицы)"
"(Starting with)","(Начиная с)"
"(You have to increase php memory_limit before changing this value)","(Необходимо увеличить  php memory_limit перед изменением этого значения)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Товар будет добавлен/обновлен для этого магазина, если столбец 'магазин' пустой или пропущен в файле импорта.)"
"(Absolute path or Relative to Magento install root, ex. var/export)","(абсолютный или относительный путь к корневой установке Magento, напр. var/export)"
"(For US 2-letter state names)","(Для двухбуквенных названий штатов США)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Если выбрано 'Нет', будут импортированы только mapped поля. Когда мэппируете, используйте 'стоолбец1', 'столбец2 'и т.д.)"
"(If left empty will be auto-generated)","(Если оставить пустыми будут сгенерировано автоматически)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - если происходит индексация, она будет остановлена и начата сначала"
"- Click on any of the time parts to increase it","- Кликните на любой цифре, чтобы изменить их"
"- or Shift-click to decrease it","- или Shift-клик для уменьшения"
"- or click and drag for faster selection.","- или нажмите и тяните для быстрого выделения."
"- Use the %s buttons to select month","- Используйте кнопки %s  для выбора месяца"
"- Use the %s, %s buttons to select year","- Используйте кнопки %s, %s  чтобы выбрать год"
"- Hold mouse button on any of the above buttons for faster selection.","- Для быстрого выделения держите кнопки мыши нажатыми над кнопками выше"
"-- Please Select --","-- Выберите --"
"-- Please select --","-- Выберите --"
"--Please Select--","-- Выберите --"
"-- Please select a category --","-- Выберите категорию --"
"1 Hour","1 час"
"12h AM/PM","12 часовой (AM/PM)"
"12 Hours","12 Часов"
"2 Hours","2 Часа"
"2YTD","2 Года"
"24 Hours","24 Часа"
"24h","24h"
"Top 5 Search Terms","5 популярных условий поиска"
"6 Hours","6 Часов"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Ошибка 404</h1><p>Страница не найдена</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Доступ запрещен</h1><p>Доступ запрещен.</p>"
"Catalog Rewrites","Catalog Rewrites"
"CatalogInventory Stock Status rebuild error. Please try again later","CatalogInventory Stock Status rebuild error. Please try again later"
"CatalogInventory Stock Status was rebuilt successfully","CatalogInventory Stock Status was rebuilt successfully"
"Create New Staging Store View","Create New Staging Store View"
"CSV","CSV (разделители - запятые)"
"CSV / Tab separated","Csv / Tab-разделение"
"View Actions XML","Cмотреть действия xml"
"Order confirmation email not sent","Email о подтверждении заказа не отправлен"
"Order confirmation email sent","Email о подтверждении заказа отправлен"
"User Email","Email пользователя"
"Finished items creation.","Finished items creation."
"Flat Catalog Category rebuild error","Flat Catalog Category rebuild error"
"Flat Catalog Category was rebuilt successfully","Flat Catalog Category was rebuilt successfully"
