"# of Use","# использования"
"%1$s incl tax.","%1$s вкл. налоги"
"%s - %s","%s - %s"
"%s Item(s)","%s шт."
"There are no %s available.","%s нет в наличии"
"(Will make search for the query above return results for this search.)","(будет ли поиск по запросу выше возвращать результаты по этому поисковому запросу.)"
"(Copy data from: %s)","(копировать данные из: %s)"
"* Required Fields","* Обязательные поля"
"-- Please Select --","-- Выберите --"
"Product links API (related, cross sells, up sells)","API ссылок товара (связи, кросс-продажи, распродажи)"
"Product types API","API типов товара"
"Product API","API товара"
"Category API","API разделов"
"Product attributes API","API атрибутов товара"
"Category attributes API","API атрибутов разделов"
"Product Tier Price API","API динамических цен"
"Product Images API","API иллюстраций товара"
"Product attribute sets API","API набора атрибутов товара"
"Backend Table","Backend таблица"
"Backend Model","Backend модель"
"Date fields order","Date fields order"
"Email","E-mail"
"File options format is not valid","File options format is not valid"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"Frontend Properties","Frontend свойства"
"Frontend Model","Frontend модель"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Minimum Lines Per Page","Minimum Lines Per Page"
"unselect all","снять выбор со всех"
"save","сохранить"
"products","товаров"
"comma separated","разделение запятыми"
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"px.","px."
"Notify Low Stock RSS","RSS заканчивающихся товаров"
"Pending Reviews RSS","RSS неподтвержденных отзывов"
"Category URL Suffix","URL суффикс разделов"
"Redirect URL","URL переадресации"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Used for sorting in product listing","Used for sorting in product listing"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"x","x"
"[GLOBAL]","[Общий]"
"Buy %1$s for %2$s","Купить %1$s по %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Купить %1$s по %2$s (%3$s вкл. налоги) каждый"
"Buy %1$s for %2$s each","Купить %1$s по %2$s каждый"
