"%s is not correct comparsion method.","%s - неверный метод сравнения."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Внимание</strong>, эти настройки действуют для товаров в корзине, а не для всей корзины."
"Inventory API","API каталога"
"In Stock","In Stock"
"Out of Stock","Out of Stock"
"By Fixed value","К фиксированной величине"
"To Fixed Value","К фиксированному значению"
"To Percentage","К процентному значению"
"Inventory","Количество"
"Qty for Items' Status to become Out of Stock","Количество товара, при котором он будет считаться отсутствующем в наличии"
"Retrieve stock data","Получить данные"
"Retrieve stock data by product ids","Получить данные по ID товара"
"Update","Обновить"
"Update the Product","Обновить товар"
"Update product stock data","Обновить данные о наличии товара"
"Product Stock Options","Настройки наличия товара"
"Can not specify product identifier for order item","Не могу указать идентификатор товара для заказа"
"No Backorders","Нет возвратных заказов"
"Stock item for Product is not valid","Неверное количество товара"
"Stock item for Product in option is not valid","Неверное количество выбранного товара"
"Some of the products are currently out of stock","Некоторых товаров нет в наличии"
"Some of the products can not be ordered in requested quantity","Некоторые товары невозможно заказать в указанном количестве"
"Some of the products cannot be ordered in the requested quantity","Некоторые товары невозможно заказать в указанном количестве"
"Allow Qty Below 0","Разрешить количество ниже 0"
"Allow Qty Below 0 and Notify Customer","Разрешить количество ниже 0 и уведомить пользователя"
"Inventory Section","Раздел каталога"
"Catalog Inventory","Товары каталога"
"Set Items' Status to be In Stock When Order is Cancelled","Установить наличие товара при отмене заказа"
"Notify for Quantity Below","Уведомлять по количеству ниже"
"Decrease Stock When Order is Placed","Уменьшать количество товара в момент оформления заказа"
"Manage Stock","Управление наличием"
"Rule price","Цена для правила"
"Maximum Qty Allowed in Shopping Cart","Максимальное количество, разрешённое в корзине"
"The maximum quantity allowed for purchase is %s.","Максимальное количество, разрешённое к продаже: %s."
"Minimum Qty Allowed in Shopping Cart","Минимальное количество, разрешённое в корзине"
"The minimum quantity allowed for purchase is %s.","Минимальное количество, разрешённое к продаже: %s."
"The requested quantity for ""%s"" is not available.","Запрашиваемое количество для товара ""%s"" не доступно."
"The requested quantity is not available.","Запрашиваемое количество недоступно"
"By Percentage","В процентной величине"
"Stock Options","Варианты наличия"
"Backorders","Возвратные заказы"
"This product is currently out of stock.","Данного товара в настоящее время нет в наличии."
