"%s and greater","%s и более"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Пожалуйста запустите процесс <a href=""%s"">Перезагрузки Поискового индекса</a>"
"Go","Go"
"No items were found using the following search criteria.","К сожалению по Вашему запросу ничего не найдено."
"Subscribe to Feed","Подписаться на рассылку"
"Please enter ""0"" to enable layered navigation for any number of results","Пожалуйста введите ""0"" для поиска по разделам меню"
"Search","Поиск"
"Search Site","Поиск по сайту"
"Catalog Search","Поиск по каталогу"
"Search Terms","Поисковые запросы"
"Popular Search Terms","Популярные поисковые запросы"
"Popular search terms","Популярные поисковые запросы"
"Required Fields","Обязательные поля"
"Go to Home Page","На главную страницу"
"Search Settings","Настройки поиска"
"Don't see what you're looking for?","Не нашли то что искали?"
"No","Нет"
"Your search returns no results.","Нет результатов по вашему запросу"
"There are no search terms available.","Нет доступных поисковых терминов."
"Advanced Search","Расширенный поиск"
"Catalog Advanced Search","Расширенный поиск по каталогу"
"Results","Результат"
"Search results for '%s'","Результаты поиска для '%s'"
"Search results for: '%s'","Результаты поиска для: '%s'"
"Relevance","Релевантность"
"Autogenerated site map","Сгенерированная карта сайта"
"List","Список"
"Grid","Сетка"
"Search Type","Тип поиска"
"up to %s","до %s"
"Maximum Query Length","Максимальная длина запроса"
"Maximum Search query  length is %s. Your query was cut.","Максимальная длина запроса составляет %s. Ваш запрос был сокращен."
"Maximum Query Words Count","Максимальное кол-во слов в запросе"
"Minimal Query Length","Минимальная длина запроса"
"Apply Layered Navigation if search results are less than","Используйте навигацию по меню если поисковые результаты меньше чем"
"Modify your search","Измените запрос"
"All","Все"
"You have to specify at least one search term","Вы должны указать по меньшей мере одно поисковое выражение"
"Search entire store here...","Введите запрос..."
"Home","Главная"
"Yes","Да"
