"&laquo; Back to Shopping Cart","&laquo;назад в корзину"
"&laquo; Back to Select Addresses","&laquo;назад к выбору адреса"
"&laquo; Back to Billing Information","&laquo;назад к информации об оплате"
"* Required Fields","* Обязательные поля"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","<a href=""%s"">Товара <strong>%s</strong> шт</a> "
"HTML","HTML"
"separate by "",""","символ разделения: "","""
"Sorry, no quotes are available for this order at this time.","К сожалению, в данный момент отсутствуют цены для этого заказа"
"My Cart","Корзина"
"Shopping Cart","Корзина"
"Shopping Cart is Empty","Корзина пуста"
"Coupon code ""%s"" was applied successfully.","Код сертификата ""%s"" успешно применён."
"Coupon code was canceled successfully.","Код сертификата отменён."
"Discount Codes","Коды скидок"
"Qty","Кол-во"
"Company","Компания"
"Estimate Shipping and Tax","Примерная доставка с учетом всех налогов"
"Data saving problem","Проблема сохранения данных"
"Sales","Продажи"
"Continue","Продолжить"
"Continue Shopping","Продолжить выбор товаров"
"Password","Пароль"
"Billing Address","Платёжный адрес"
"Recently added item(s)","Последние товары в заказе"
"Zip/Postal Code","Почтовый индекс"
"Confirm Password","Подтвердите пароль"
"Details","Подробно"
"Please <a href=""%s"">continue shopping</a>.","Пожалуйста, <a href=""%s"">продолжайте покупки</a>."
"Please select shipping methods for all addresses","Пожалуйста, выберите способ доставки для всех адресов"
"Please select region, state or province","Пожалуйста, выберите регион, область или район"
"Please log in below:","Пожалуйста, введите информацию для входа:"
"Please enter a valid zip code. For example 90602 or 90602-1234.","Пожалуйста, введите правильный почтовый индекс. Например, 196000"
"Show Content as","Показать содержание как"
"Display number of items in cart","Показать количество товаров в корзине"
"Display item quantities","Показать количество для товара"
"Payment Failed Email Reciever","Получатель сообщения о неудавшемся платеже"
"Payment Failed Emails","Получатели сообщения о неудавшемся платеже"
"Get a Quote","Получить итоговую цену"
"Maximum display Recently added item(s)","Полное отображение последних товаров в корзине"
"After adding a product redirect to shopping cart","Переход в корзину после добавления товара"
"Please agree to all Terms and Conditions before placing the order.","Перед оформлением заказа Вы должны подтвердить Соглашение о заказе."
"Please agree to all Terms and Conditions before placing the orders.","Перед оформлением заказа Вы должны подтвердить Соглашение о заказе."
"Continue to Shipping Information","Перейти к информации о доставке"
"Continue to Review Your Order","Перейти к просмотру Вашего заказа"
"Continue to Billing Information","Перейти к платежной информации"
"Move to Wishlist","Переместить в список желаний"
"Load customer quote error","Ошибка во время загрузки итоговой информации о заказе"
"Error while saving this condition. Please try again later.","Ошибка при сохранении этого условия. Попробуйте ещё раз позже."
"Error while deleting this condition. Please try again later.","Ошибка при удалении этого условия. Попробуйте ещё раз позже."
"Add to Wishlist","Отметить товар"
"Cancel Coupon","Отменить сертификат"
"Display Cart Summary","Отображение содержимого корзины"
"Display Shopping Cart Sidebar","Отображение блока корзины"
"Send to","Отправить"
"Payment Failed Email Sender","Отправитель сообщения о неудавшемся платеже"
"Submitting order information...","Отправка информации о заказе ..."
"Checkout","Оформить заказ"
"Proceed to Checkout","Оформить заказ"
"Checkout as Guest","Оформить заказ без регистрации"
"Checkout as a Guest or Register","Оформить заказ без регистрации или зарегистрироваться"
"Checkout with Multiple Addresses","Оформить заказ на несколько адресов"
"Order Review","Обзор заказа"
"Review Order","Обзор заказа"
"Review Order - %s","Обзор заказа - %s"
"Update Shopping Cart","Обновить корзину"
"Update Qty &amp; Addresses","Обновить количество и адреса"
"Update Total","Обновление итого"
"Default Billing","Оплата по умолчанию"
"Address","Адрес"
"Street Address","Адрес"
"Street Address ","Адрес "
"Address %s of %s","Адрес %s из %s"
"Email Address","Адрес эл. почты"
"Shipping Address","Адрес доставки"
"Customer Address is not valid.","Адрес клиента не верен."
"Configurable product image","Настраиваемое изображение товара"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Нажмите <a href=""%s"" onclick=""this.target='_blank'"">здесь</a>, чтобы распечатать информацию по Вашему заказу"
"Back","Назад"
"Back to Shipping Information","Назад к информации о доставке"
"Condition Name","Название условия"
"Product Name","Название товара"
"New Address","Новый адрес"
"New Condition","Новые условия"
"Your order number is ","Номер Вашего заказа: "
"Cannot remove item","Не удается удалить товар"
"Can not add item to shopping cart","Не удается добавить товар в корзину"
"Can not apply coupon code.","Не удается использовать код сертификата."
"Cannot update shopping cart","Не удается обновить корзину"
"Invalid email address ""%s""","Неверный адрес эл. почты ""%s"""
"Coupon code ""%s"" is not valid.","Неверный код сертификата ""%s""."
"Invalid shipping method.","Неверный метод доставки."
"Invalid data","Неверные данные"
"Some of the products you requested are not available in the desired quantity","Некоторые товары, которые Вы запросили, не имеются в нужном количестве"
"Some of the products you requested are unavailable","Некоторые запрашиваемые товары недоступны"
"Allow Guest Checkout","Разрешить заказ для незарегистрированных посетителей сайта"
"Checkout Section","Раздел заказа"
"Place Order","Разместить заказ"
"Register","Регистрация"
"Edit","Редактировать"
"Edit Terms and Conditions","Редактировать соглашение о заказе"
"Edit Your Cart","Редактировать Вашу корзину"
"Incl. Tax","С налогами"
"My Cart Link","Ссылка на мою корзину"
"Country","Страна"
"Can't open overview page","Страница описания не открывается"
"Status","Статус"
"Save in address book","Сохранить в адресной книге"
"Checkout Terms and Conditions","Соглашение о заказе"
"Terms and Conditions","Соглашение о заказе"
"Terms and conditions","Соглашение о заказе"
"Content","Содержание"
