"* Required Fields","* Обязательные поля"
"Email Options","Email Параметры"
"Email Sender","Email Отправитель"
"Email Template","Email Шаблон"
"Comment","Комментарий"
"Contacts","Контакты"
"Submit","Отправить"
"Send Emails To","Отправить адреса email в"
"Contact Information","Обратная связь"
"Contact Us","Обратная связь"
"Enable Contact Us","Разрешить форму обратной связи"
"Contacts Section","Раздел контакты"
"Telephone","Телефон"
"Contact Form","Форма обратной связи"
"Email","Эл. почта"
"Name","Имя"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Ваш запрос выполнен, мы ответим Вам как можно скорее. "
"Unable to submit your request. Please, try again later","Ваш запрос не выполнен. Пожалуйста, попробуйте позднее "
