"%s already exist","%s уже существует"
"%s already exists","%s уже существует"
"-- Please Select --","-- Выбирайте из списка --"
"Store Email Addresses","Email адреса магазина"
"Sender email","Email отправителя"
"HTML Head","HTML заголовок"
"Blocks HTML output","HTML код блоков"
"Id path for specified store","ID путь для указанного магазина"
"SMTP settings (Windows server only)","SMTP настройки (только для Windows-сервера)"
"Default no-route url","URL в случае отсутствия страницы по умолчанию"
"Default web url","Web URL по умолчанию"
"Translate cache should be disabled for both Frontend and Admin inline translations","Кэш перевода должен быть отключён для всей системы на время построчного перевода"
"Default Keywords","Ключевые слова по умолчанию"
"Root Category","Корневой раздел"
"Code","Код"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Код сайта может содержать только буквы, цифры или подчеркивание. Первым символом должна быть буква."
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Код магазина может содержать только буквы, цифры или подчеркивание. Первым символом должна быть буква."
"Configuration","Конфигурация"
"Duplicate Of Template Code","Копия кода шаблона"
"Empty identifier field name","Пусто название идентификатора поля"
"Empty main table name","Пустое название основной таблицы"
"Cookie Path","Путь cookies"
"Profiler","Профайлер"
"Validate HTTP_USER_AGENT","Проверить HTTP_USER_AGENT"
"Validate HTTP_VIA","Проверить HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Проверить HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Проверить REMOTE_ADDR"
"Session Lifetime, Seconds","Продолжительность сессии, секунды"
"Title Prefix","Префикс названия"
"Sales representative","Представитель по продажам"
"Url Options","Параметры ссылки"
"Backup options","Параметры архивной копии"
"Package","Пакет"
"Forgot Password Email Sender","Письмо о забытом пароле. Отправитель"
"Forgot Password Email Template","Письмо о забытом пароле. Шаблон"
"Default","По умолчанию"
"Translate Inline","Построчный перевод"
"Admin User Emails","Почтовые ящики администратора"
"Sort order","Порядок сортировки"
"Port (25)","Порт (25)"
"Template Path Hints","Подсказка пути шаблона"
"Footer","Подвал"
"Please wait, loading...","Подождите, идет загрузка ..."
"Please make sure your passwords match.","Пожалуйста, убедитесь, что ваши пароли совпадают."
"Please choose to register or to checkout as a guest","Пожалуйста, выберите регистрацию или оформление заказа без регистрации."
"Please select an option.","Пожалуйста, выберите один вариант."
