"* Required Fields","* Обязательные поля"
"YYYY","20XX"
"Customer Api","Api покупателя"
"CSV","CSV"
"Confirmation Link Email","E-mail для подтверждений"
"Customer email already exists","Email пользователя уже существует"
"HTML","HTML"
"Product ID","ID товара"
"IP Address","IP-адрес"
"M.I.","M.I."
"PDF","PDF"
"XML","XML"
"Purchase On","Куплен"
"Purchased at","Куплен на"
"Bought From","Куплено из"
"Tax Class","Класс налога"
"Tax class","Класс налога"
"Shopping Cart","Корзина"
"Shopping Cart - %d item(s)","Корзина -%d товар(ов)"
"Please, check your e-mail for confirmation key.","Код подтверждения выслан, проверьте Вашу эл. почту."
"New account confirmation key","Код подтверждения новой учётной записи"
"Qty","Кол-во"
"Company","Компания"
"Config","Конфигурация"
"Newsletter Finish","Конец письма"
"Problem saving the collection, aborting. Error: %s","При сохранении коллекции произошла ошибка: %s"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","При создании аккаунта в нашем магазине вы сможете быстро оформлять заказ, хранить несколько адресов доставки, просматривать и отслеживать заказы и многое другое."
"Welcome Email","Приветственное письмо"
"Paused","Приостановлено"
"View Order List","Просмотреть список заказов"
"Last Viewed Items","Просмотренные товары"
"Lifetime Sales","Продажи за все время"
"Skip import row, required field ""%s"" not defined","Пропуск строки, не определено обязательное поле ""%s"""
"Skip import row, website ""%s"" field not exists","Пропуск строки, не определено поле для веб-сайта ""%s"""
"Missing email, skipping the record","Пропущен email, пропуск записи"
"Missing lastname, skipping the record","Пропущена фамилия, пропуск записи"
"Customer collection expected","Пропущена коллекция для пользователя"
"Missing firstname, skipping the record","Пропущено имя, пропуск записи"
"Prefix","Префикс"
"Prefix dropdown options","Префикс (выпадающий список)"
"Name and Address Options","Параметры для имени и адреса"
"Online Customers Options","Параметры для пользователей на сайте"
"Password Options","Параметры пароля"
"Password","Пароль"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Пароль должен состоять не менее чем из 6 символов. Пробел в начале или в конце будут проигнорированы"
"Password can't be empty","Пароль должен быть указан"
"Password minimal length must be more %s","Пароль должен быть длиннее %s симв."
"Password fields can't be empty.","Пароли должны быть указаны."
"Account Dashboard","Панель управления аккаунтом"
"My Account Dashboard","Панель управления моей учётной записи"
"Default Welcome Email","Письмо с приветствием по умолчанию"
"Newsletter Received","Письмо получено"
"Default Billing Address","Платёжный адрес по умолчанию"
"Bill to Name","Плательщик"
"Last Activity","Последняя активность"
"Last date unsubscribed","Последняя дата отмены подписки"
"Last date subscribed","Последняя дата подписки"
"Last Url","Последний URL"
"Last 5 Orders","Последние 5 заказов"
"Visitor","Посетитель"
"ZIP","Почтовый индекс"
"ZIP/Post Code","Почтовый индекс"
"ZIP/Postal Code","Почтовый индекс"
"Zip/Postal Code","Почтовый индекс"
"Confirm New Password","Подтвердите новый пароль"
"Confirmed","Подтвержден"
"Confirm Password","Подтверждение пароля"
"Details","Подробности"
"Subscribe to newsletter","Подписать на новости"
"Subscribe","Подписаться"
"Sign Up","Регистрация"
"Sign Up for Newsletter","Подписаться на рассылку"
"Sign up for our newsletter","Подписаться на нашу рассылку"
"Newsletter Subscription","Подписки на информационный бюллетень"
"Please enter your email below and we'll send you a new password.","Пожалуйста введите адрес вашей эл. почты ниже и мы вышлем Вам новый пароль"
"Please select","Пожалуйста, выберите"
"Customer","Покупатель"
"Customer Since","Покупатель с "
"Customers","Покупатели"
"Show suffix","Показывать суффикс"
"Show date of birth","Показывать дату рождения"
"Show Tax/VAT number","Показывать номер плательщика НДС (ИНН)"
"Show middle name (initial)","Показывать отчество"
"Show prefix","Показывать обращение"
"Customer Group was successfully saved","Пользовательская группа была успешно сохранена"
"Customer Group was successfully deleted","Пользовательская группа была успешно удалена"
"User description","Пользовательское описание"
"Online Customers","Пользователи на сайте"
"Retrieve your confirmation link here","Получите Ваш код подтверждения по эл. почте здесь"
"Retrieve customers","Получение списка покупателей"
"Retrieve address data","Получение адресный данных"
"Retrieve address info","Получение адресный данных"
"Retrieve customer addresses","Получение адресов покупателя"
"Retrieve customer's groups","Получение групп покупателя"
"Retrieve customer data","Получение данных покупателя"
"Retrieve customers info","Получение информации о покупателях"
"Go to Address Book","Переход в адресную книгу"
"Leave empty for default (15 minutes).","Оставьте пустым для 15 минут."
"Leave empty for default (2). Valid range: 1-4","Оставьте пустым для значения по умолчанию (2). Корректный диапазон: 1-4"
"Primary Shipping Address","Основной адрес доставки"
"Primary Billing Address","Основной платёжный адрес"
"Failed to confirm customer account.","Ошибка при подтверждении учётной записи пользователя."
"Shipped to Name","Отгружено на имя"
"Product Reviews","Отзывы о товаре"
"Wishlist - %d item(s)","Отмеченные товары -%d шт."
"Cancel","Отмена"
"Disabled","Отменен"
"Submit","Отправить"
"Send confirmation link","Отправить ссылку кода подтверждения"
"Send auto-generated password","Отправить автоматически генерируемый пароль"
"Send welcome email","Отправить приветственное сообщение"
"Send Welcome Email after Confirmation","Отправить приветственное сообщение после получения кода подтверждения"
"Email Sender","Отправитель эл. почты"
"Forgot Email Sender","Отправитель письма о забытом пароле"
"Sending","Отправка"
"Sent","Отправлено"
"Unsubscribe from newsletter","Отписать от новостей"
"General Subscription","Общая подписка"
"Global","Общие"
"Contact Information","Обратная связь"
"The title that goes before name (Mr., Mrs., etc.)","Обращение используемое до имени (Г-н, Г-жа и т.д.)"
"State/Province","Область, штат, провинция"
"Update customer address data","Обновить адресные данные покупателя"
"Update customer data","Обновить данные покупателя"
"Update","Обновление"
"Pending","Ожидает решения"
"Entity collection is expected","Ожидается набор сущностей"
"Create New Account Options","Опции создания нового аккаунта"
"SKU","Артикул"
"Address","Адрес"
"Email Address","Адрес эл. почты"
"Default Shipping Address","Адрес доставки по умолчанию"
"Customer Addresses","Адрес пользователя"
"Addresses","Адреса"
"Default Addresses","Адреса по умолчанию"
"Address Book","Адресная книга"
"Admin","Администратор"
"Account Sharing Options","Настройки разделения аккаунтов"
"Customer Configuration","Настройки для пользователей"
"Session Start Time","Начало времени сессии"
"Newsletter Start","Начало письма"
"Back","Назад"
"Product Name","Название товара"
"Product name","Название товара"
"Tag Name","Название тега"
"Group Name","Название группы"
"Assign a customer group","Назначить группу"
"Never","Никогда"
"New Address","Новый адрес"
"New Customer Address","Новый адрес пользователя"
"New account","Новый аккаунт"
"New Password","Новый пароль"
"New password","Новый пароль"
"A new password was sent","Новый пароль был отправлен"
"New Customer","Новый пользователь"
"Recent Orders","Новые заказы"
"New Customer Groups","Новые пользовательские группы"
"New Customers","Новые пользователи"
"New account confirmed","Новая учётная запись подтверждена"
"New Group","Новая группа"
"New Customer Group","Новая пользовательская группа"
"Tax/VAT number","Номер плательщика НДС (ИНН)"
"No item specified.","Не указана запись."
"Offline","Не в сети"
"n/a","Не доступно"
"No product collections found","Не найдены наборы товаров"
"Not Sent","Не отправлено"
"Not confirmed, can login","Не подтверждён, можно входить в систему"
"Not confirmed, cannot login","Не подтверждён, нельзя входить в систему"
"Can't save address","Невозможно сохранить адрес"
"Can't save customer","Невозможно сохранить покупателя"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Невозможно разделить учётные записи покупателя. Некоторые покупатели с одинаковым адресом эл. почты существуют на разных сайтах и их невозможно объединить в одну учётную запись."
"Invalid option id specified for %s (%s), skipping the record","Неверный ID параметра %s (%s), пропуск записи"
"Wrong transactional account email type.","Неверный тип эл. почты для учётной записи с транзакциями."
"Invalid email address","Неверный адрес эл. почты"
"Invalid email address ""%s""","Неверный адрес эл. почты ""%s"""
"Bad request.","Неверный запрос."
"Wrong region id by selected country","Неверный идентификатор региона для выбранной страны"
"Wrong confirmation key.","Неверный код подтверждения."
"Invalid login or password.","Неверный логин или пароль."
"Invalid attribute set specified, skipping the record","Неверный набор аттрибутов, пропуск записи"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Неверный параметр для аттрибута %s (%s), пропуск записи"
"Invalid customer data","Неверные данные покупателя"
"Unknown","Неизвестный"
"Login and password are required","Необходимо указать логин и пароль"
"Require Emails Confirmation","Необходимо подтверждение по эл. почте"
"Invalid current password","Неправильный текущий пароль"
"Ext. Price","Расш. цена"
"Customers Section","Раздел покупателей"
"Edit","Редактировать"
"Edit Address","Редактировать адрес"
"Edit Customer's Address","Редактировать адрес пользователя"
"Edit Customer Group ""%s""","Редактировать группу пользователей ""%s"""
"Edit Address Entry","Редактировать запись адреса"
"Edit Account Info","Редактировать информацию об аккаунте"
"Edit Customer Groups","Редактировать пользовательские группы"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","С помощью панели управления Вы можете просматривать или редактировать все связанные с Вашей учётной записью данные и отчёты. Перейдите по ссылке выше для просмотра или редактирования данных."
"Suffix","Суффикс"
"Suffix dropdown options","Суффикс (выпадающий список)"
"The suffix that goes after name (Jr., Sr., etc.)","Суффикс используется после имени (Jr., Sr. и т.д.)"
"Amount","Сумма"
"Total","Сумма"
"Country","Страна"
"Status","Статус"
"Sales Statistics","Статистика продаж"
"Average Sale","Средние продажи"
"Website","Сайт"
"View","Смотреть"
"View Order","Смотреть заказ"
"Save","Сохранить"
"Save Address","Сохранить адрес"
"Save And Continue Edit","Сохранить и продолжить"
"Save Password","Сохранить пароль"
"Save Customer","Сохранить пользователя"
"Save Customer Group","Сохранить пользовательскую группу"
"Saved ","Сохранено "
"Create","Создать"
"Create customer address","Создать адрес покупателя"
"Create an Account","Создать аккаунт"
"Create New Customer Account","Создать новый пользовательский аккаунт"
"Create customer","Создать покупателя"
"Create Order","Создание заказа"
"Wishlist","Список желаний"
"Order List...","Список заказов ..."
"TAX/VAT number is required.","Требуется номер плательщика НДС (ИНН)."
"Type","Тип"
"Product","Товар"
"Visitors Only","Только для посетителей"
"Customers Only","Только для пользователей"
"Product Tags","Теги товара"
"Text","Текст"
"Text One Line","Текст одной линией"
"Current Password","Текущий пароль"
"Telephone","Телефон"
"Subject","Тема"
"You're now Logged Out","Вы вышли из системы"
"This customer has no saved addresses.","У этого пользователя нет сохраненных адресов."
"You have no additional entries in your address book.","У вас никаких дополнительных адресов в адресной книге."
"You have not set a primary shipping address.","У вас не установлен основной адрес доставки."
"You have not set a primary billing address.","У вас не установлен основной платежный адрес."
"You have no default shipping address in your address book.","У вас нет адреса доставки по умолчанию в адресной книге."
"You have no additional address entries in your address book.","У вас нет дополнительных записей об адресе в адресной книге."
"You have no primary entries in your address book.","У вас нет записи по умолчанию в адресной книге."
"You have no default billing address in your address book.","У вас платежного адреса по умолчанию в вашей адресной книге."
"Customer doesn't have primary billing address","У пользователя нет основного платежного адреса"
"Set as Default Shipping Address","Установить как адрес доставки по умолчанию"
"Set as Default Billing Address","Установить как платежный адрес по умолчанию"
"Approved","Утвержден"
"Share Customer Accounts","Уровень разделения аккаунтов"
"Please make sure your passwords match.","Убедитесь, что пароли совпадают."
"Delete","Удалить"
"Remove","Удалить"
"Delete Address","Удалить адрес"
"Delete customer address","Удалить адрес покупателя"
"Delete customer","Удалить покупателя"
"Delete Customer","Удалить пользователя"
"Delete Customer Group","Удалить пользовательскую группу"
"Deleted Stores","Удаленные магазины"
"Subscribed to Newsletter?","Уже подписаны на новости?"
"Wrong email.","Указан неверный адрес эл. почты."
"Invalid store specified, skipping the record","Указан неверный магазин, пропуск записи"
"Wrong customer account specified.","Указана неверная учётная запись."
"Street Address","Улица"
"Street Address ","Улица "
"Manage Addresses","Управление адресами"
"Password Management","Управление паролем"
"Manage Customers","Управление пользователями"
"Fax","Факс"
"Last Name","Фамилия"
"Last name can't be empty","Фамилия должна быть указана"
"Price","Цена"
"Number of lines in a street address ","Число строк в адресе улицы "
"Forgot Email Template","Шаблон письма о забытом пароле"
"This account is not confirmed.","Эта учётная запись не подтверждена."
"This e-mail does not require confirmation.","Это адрес эл. почты не требует подтверждения."
