"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Ссылка</a>"
"Dry run set, stopping execution","Dry run set, stopping execution"
"Error field mapping! Fields list for mapping is not defined","Error field mapping! Fields list for mapping is not defined"
"ETA: %s","ETA: %s"
"hour","час"
"Error occured during file opening: ""%s""","Произошла ошибка при открытии файла: ""%s"""
"Skip undefined row","Пропустить неопределенный ряд"
"Please declare ""adapter"" and ""method"" node first","Пожалуйста сначала укажите ""adapter"" и ""method"" "
"Declared adapter %s not found","Объявленный адаптер %s не найден"
"Done","Обработано"
"Processed records: %s","Обработано записей: %s"
"Found %d rows","Обнаружено %d рядов"
"Could not save file: %s","Невозможно сохранить файл: %s"
"Could not load file: ""%s""","Невозможно загрузить файл: ""%s"""
"Saved successfully: ""%s"" [%d byte(s)]","Успешно сохранено: ""%s"" [%d байт]"
"Loaded successfully: ""%s""","Успешно загружено: ""%s"""
"File ""%s"" don't exist","Файл ""%s"" не существует"
"hours","Часов"
"minutes","минут"
"minute","минута"
"Method ""%s"" not defined in adapter %s","Метод ""%s"" не определен в адаптере %s"
"Less than a minute","Менее чем за минуту"
"Memory Used: %s","Использовано памяти: %s"
"Starting %s :: %s","Запуск %s :: %s"
"Destination folder ""%s"" is not a writeable","Запрашиваемая папка ""%s"" закрыта для записи"
"Destination folder ""%s"" does not exist or not access to create","Запрашиваемая папка ""%s"" не существует или нет доступа для е создания"
"Destination folder ""%s"" is not a directory","Запрашиваемая папка ""%s"" не является директорией"
"Total records: %s","Всего записей: %s"
"Access denied to destination folder ""%s""","Доступ к папке ""%s"" запрещен"
"Sheet 1","Лист 1"
