"Guest checkout will only work with shareable","Guest checkout will only work with shareable"
"Invoiced","Invoiced"
"Link has expired.","Link has expired."
"Order Item Status to enable Downloads","Order Item Status to enable Downloads"
"Pending","Pending"
"Requested link doesn't exist.","Requested link doesn't exist."
"Sorry, there was an error getting requested content","Sorry, there was an error getting requested content"
"U","U"
"To:","Кому:"
"An error occurred while saving the file(s).","При сохранении файла(ов) произошла ошибка."
"Sorry, the was an error getting requested content. Please contact store owner.","Произошла ошибка при получении содержания. Пожалуйста, свяжитесь с администратором магазина."
"Sorry, there was an error getting requested content. Please contact store owner.","Произошла ошибка при получении содержания. Пожалуйста, свяжитесь с администратором магазина."
"View Order","Посмотреть заказ"
"Sort Order","Порядок сортировки"
"Gift Message","Поздравительное сообщение"
"Go to <a href=""%s"">My Downloadable Products</a>","Перейти к <a href=""%s"">Мои цифровые товары</a>"
"Remaining Downloads","Остальные загрузки"
"Open Links in New Window","Открывать ссылки в новом окне"
"Canceled","Отменено"
"Shareable","Общий"
"Title","Образец ссылки по умолчанию"
"Default Sample Title","Образец заголовка по умолчанию"
"Sample","Образец заголовка по умолчанию"
"sample","Образец заголовка по умолчанию"
"Downloadable Product Options","Опции цифрового товара"
"Start Download","Начать загрузку"
"Back","Назад"
"Availability: Out of stock.","Наличие: Нет в наличии."
"Availability: In stock.","Наличие: В наличии."
"Can't connect to remote host, error: %s","Невозможно соединиться с удаленным хостом, ошибка: %s"
"Invalid download URL host","Неверный домен ссылки для скачивания"
"Invalid download URL scheme","Неверный протокол ссылки для скачивания"
"Unlimited","Неограниченно"
"Invalid download link type","Неправильный тип ссылки загрузки"
"Downloadable product Section","Раздел цифрового товара"
"Link is not available.","Ссылка не доступна."
"Links can be purchased separately","Ссылки могут быть приобретены отдельно"
"Status","Статус"
"Message:","Сообщение:"
"Remove item","Удалить товар"
"Please specify product link(s).","Укажите ссылку(и) на товар."
"Please set resource file and link type","Укажите расположение файла и тип ссылки"
"File","Файл"
"File does not exists","Файл не найден"
"Downloadable Product","Цифровой товар"
"Price","Цена"
"attachment","вложение"
"download","загрузка"
"inline","построчно"
"Max. Downloads","Макс. Загрузки"
"Default Maximum Number of Downloads","Максимально количество загрузок по умолчанию"
"My Downloadable Products","Мои загруженные товары"
"Excl. Tax","Искл. Налог"
"Incl. Tax","Искл. Налог"
"From:","Из:"
"Downloadable Information","Загружаемая информация"
"Default Link Title","Заголовок ссылки по умолчанию"
"Order #","Заказ #"
"Ordered","Заказано"
"Disable Guest Checkout if cart contains downloadable items","Запретить оплату без регистрации для цифровых товаров"
"You have not purchased any downloadable products yet.","Вы пока не преобрели товары которые можно загрузить"
"Refunded","Возвращено"
"Please log in to download your product.","Войдите, чтобы загрузить ваш товар."
"Date","Дата"
"Shipped","Доставлено"
"Add New Row","Добавить новую строку"
