"* Select shipping method","* выберите метод доставки"
"AVS Status: %s","AVS статус: %s"
"CID Status: %s","CID статус: %s"
"Debug","Debug"
"Default Package Height (in)","Default Package Height (in)"
"Default Package Length (in)","Default Package Length (in)"
"Default Package Width (in)","Default Package Width (in)"
"Delivery schedule","Delivery schedule"
"Disable Default Tax Tables","Disable Default Tax Tables"
"Enable Digital Delivery","Enable Digital Delivery"
"Enable Flat Rate","Enable Flat Rate"
"Enable Merchant Calculated","Enable Merchant Calculated"
"Enable this if your checkout request is too big and being cut off.","Enable this if your checkout request is too big and being cut off."
"Google API","Google API"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital Delivery"
"Google Checkout Shipping - Merchant Calculated","Google checkout доставка — вычисляемая продавцом"
"Google Checkout Shipping - Flat Rate","Google checkout доставка — плавающая величина"
"Google Checkout Shipping - Carrier Calculated","Google checkout доставка — Вызов курьера"
"Google Checkout: %s","Google checkout: %s"
"Google Buyer Id: %s","Google id покупателя: %s"
"Google Authorization:","Google авторизация:"
"Google Refund:","Google возврат:"
"Google order status change:","Google изменения статуса заказа:"
"Google Risk Information:","Google информация о рисках:"
"Google Order Number: %s","Google номер заказа: %s"
"Google Charge:","Google обязанности:"
"Hide Cart Contents During Checkout","Hide Cart Contents During Checkout"
"Merchant ID","ID продавца"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated."
"IP Address: %s","IP-адрес: %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Is Buyer Willing To Receive Marketing E-Mails: %s"
"Medium - %s","Medium - %s"
"Rate 1 Amount","Rate 1 Amount"
"Rate 1 Ship To Applicable Countries","Rate 1 Ship To Applicable Countries"
"Rate 1 Ship to Specific Countries","Rate 1 Ship to Specific Countries"
"Rate 1 Title","Rate 1 Title"
"Rate 2 Amount","Rate 2 Amount"
"Rate 2 Ship To Applicable Countries","Rate 2 Ship To Applicable Countries"
"Rate 2 Ship to Specific Countries","Rate 2 Ship to Specific Countries"
"Rate 2 Title","Rate 2 Title"
"Rate 3 Amount","Rate 3 Amount"
"Rate 3 Ship To Applicable Countries","Rate 3 Ship To Applicable Countries"
"Rate 3 Ship to Specific Countries","Rate 3 Ship to Specific Countries"
"Rate 3 Title","Rate 3 Title"
"Required for live Google Checkout transactions.","Required for live Google Checkout transactions."
"Secure Callback URL","Secure Callback URL"
"Transparent","Transparent"
"Continue Shopping URL","URL для продолжения покупок"
"Delivery Address Category","Категория адреса доставки"
"Merchant Key","Ключ продавца"
"Eligible for protection: %s","Право на защиту: %s"
"Invoice auto-created: %s","Платеж автоматически создан: %s"
"Latest Refund: %s","Последний возврат: %s"
"Latest Charge: %s","Последнее пополнение: %s"
"Sandbox","Песочница (Sandbox)"
"Total Charged: %s","Общая оплата: %s"
"Total Refunded: %s","Общий возврат: %s"
"New order status","Новый статус заказа"
"No","Нет"
"Optional, leave empty for home page.","Необязательно, оставьте пустым для домашней страницы."
"Allowed Methods","Разрешённые способы"
"Amount: %s","Сумма: %s"
"Default price for methods","Стандартные цены для способов"
"Checkout Image Style","Стиль изображения для оформления"
"United States","США"
"Auto-generated from GoogleCheckout Charge","Сгенерировано автоматически из GoogleCheckout Charge"
"Cart Discount","Скидка для корзины"
"Method","Способ"
"Carrier Calculated Methods","Способы доставки курьером"
"Remove","Удалить"
"Financial: %s -> %s","Финансовый: %s -> %s"
"Default price:","Цена по умолчанию:"
"CC Partial: xxxx-%s","Частичное CC: хххх- %s"
"Small - %s","Маленький - %s"
"Location","Местонахождение"
"Expiration: %s","Истечение срока: %s"
"Large - %s","Большой - %s"
"Free Shipping","Бесплатная доставка"
"White Background","Белый фон"
"You will be redirected to GoogleCheckout in a few seconds.","Вы будете перенаправлены на сайт GoogleCheckout через несколько секунд."
"Fulfillment: %s -> %s","Выполнение: %s -> %s"
"Virtual item to reflect discount total","Виртуальный товар, чтобы отразить общую скидку"
"Enable","Включить"
"Enable Carrier Calculated","Включить расчет стоимости доставки курьером"
"Buyer account age: %s days","Возраст аккаунта покупателя: %s дней"
"United Kingdom","Великобритания"
"Add","Добавить"
"Add Shipping Method","Добавить способ доставки"
