"-- Please Select --","-- Выберите  --"
"All fields of script types have to be filled.","All fields of script types have to be filled."
"Control Script","Control Script"
"Conversion Page","Conversion Page"
"Conversion Page URL","Conversion Page URL"
"Conversion Script","Conversion Script"
"Google Optimizer Scripts","Google Optimizer Scripts"
"Google Website Optimizer","Google Website Optimizer"
"Install Scripts","Install Scripts"
"Limit is 8 attributes only.","Limit is 8 attributes only."
"Multi Address Checkout","Multi Address Checkout"
"One Page Checkout","One Page Checkout"
"Order Success (Multi Address Checkout)","Order Success (Multi Address Checkout)"
"Order Success (One Page Checkout)","Order Success (One Page Checkout)"
"Original Page","Original Page"
"Other","Other"
"Please copy and paste this value to experiment edit form","Please copy and paste this value to experiment edit form"
"Please select store view to see the URL","Please select store view to see the URL"
"Scripts Install URL","Scripts Install URL"
"Tracking Script","Tracking Script"
"Use Default","Use Default"
"Use Default Values","Use Default Values"
"Variant Page","Variant Page"
"Shopping Cart","Корзина"
"Page View Optimization","Оптимизация просмотра страницы"
"Product View Optimization","Оптимизация просмотра товара"
"Category View Optimization","Оптимизация просмотра категории"
"Attributes","Атрибуты"
"Account Registration","Регистрация"
"Page Type","Тип страницы"
"Enable","Включить"
