"(Optional. Leave blank for no prefix)","(Опционально. Оставьте пустым, чтобы не использовать префикс)"
"(Make sure you keep it in a safe place.)","(Убедитесь, что храните ключ в безопасном месте.)"
"(ver. %s)","(вер. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.)."
"Email Address","Email адрес"
"Magento","Magento"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento является товарным знаком Irubin Consulting Inc. DBA Varien.  Авторские права &copy; %s Irubin Consulting Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento использует этот ключ для шифрования паролей, информации кредитных карт и т.п. Если это поле оставить пустым, система самостоятельно создаст ключ шифрования и покажет вам его на следующей странице."
"Installation Guide","руководство по установке"
"PHP Extension ""%s"" must be loaded","PHP расширение ""%s"" должно быть загружено"
"PHP Extension '%s' loaded","Php расширение '%s' загружено"
"Session storage options","Session storage options"
"Url ""%s"" is invalid","Url ""%s"" неверный"
"Url ""%s"" is not accessible","Url ""%s"" недоступен"
"Encryption Key","Ключ шифрования"
"Configuration","Конфигурация"
"Proceed With Automatic Download (%s)","Приступить к автоматическому скачиванию (%s)"
"Having trouble installing Magento?","Проблемы с установкой Magento?"
"Continue","Продолжить"
"Continue After Manual Download","Продолжить после ручной загрузки"
"Continue Full Download / SVN Installation","Продолжить полную / SVN установку"
"Skip Base URL validation before next step","Пропустить проверку базового URL до следующего шага"
"Skip Secure URL validation before next step","Пропустить проверку защищенного URL до следующего шага"
"Table prefix should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Префикс таблицы должен содержать латинские буквы (a-z), цифры (0-9) или подчеркивание(_), первый символ должен быть буквой"
"Tables Prefix","Префикс названий таблиц"
"Provide a complete base URL for SSL connection. For example: %s","Предоставьте полный базовый URL для SSL соединения. например: %s"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Прежде чем продолжить, пожалуйста, сохраните информацию о вашем ключе шифрования. (Magento использует его для шифрования паролей, информации кредитных карт и т.п.)."
"Password","Пароль"
"Database user password","Пароль базы даных"
"User Password","Пароль пользователя"
"Admin Path","Папка для admin доступа"
"After successfull installation please click the button below.","После успешной установки нажмите на кнопку ниже."
"Confirm Password","Подтвердите пароль"
"Password Confirmation","Подтверждение пароля"
"Connection","Подключение"
"Database Connection","Подключение к базе данных"
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Пожалуйста, убедитесь в том, что <code>mod_rewrite</code> включен в Apache конфигурации."
"Please set all required settings before clicking Continue","Пожалуйста, выполните все необходимые изменения и нажмите кнопку 'Продолжить'"
"Full Download / SVN Installation","Полностью загруженная версия / SVN установка"
"Help Us to Keep Magento Healthy","Помогите сделать Magento еще лучше - сообщайте о всех ошибках"
"Go to Frontend","Перейти к домашней странице"
"Go to Backend","Перейти к панели администрирования"
"Database connection error","Ошибка соединения с базой данных"
"Required Fields","Обязательные поля"
"One from PHP Extensions ""%s"" must be loaded","Одно из PHP расширений ""%s"" должно быть загружено"
"Web access options","Настройки веб-доступа"
