"ID","ID"
"Error Code","Код ошибки"
"Duplicate of template code","Копия кода шаблона"
" Copy","Копировать"
"Start","Пуск"
"Paused","Приостановлено"
"View Newsletter","Просмотр письма"
"No problems found","Проблем не обнаружено"
"Preview","Предпросмотр"
"Preview Template","Предпросмотр шаблона"
"Newsletter Message Preview","Предпросмотр новостного письма"
"Convert to Plain Text","Преобразовать в обычный текст"
"Pause","Пауза"
"Queue Newsletter","Письмо в очереди"
"Subscriber","Подписчик"
"Subscribers","Подписчики"
"Newsletter Subscribers","Подписчики рассылки"
"Sign me up","Подписать меня"
"Subscribe","Подписаться"
"Sign up for our newsletter:","Подписаться на нашу рассылку:"
"Subscribed","Подписаны"
"Newsletter Subscription","Подписка рассылки"
"The subscription was successfully saved","Подписка была успешно сохранена"
"Newsletter Sign-up","Подписка на рассылку"
"Newsletter Subscriptions","Подписки рассылки"
"Customer","Покупатель"
"Recipients","Получатели"
"Toggle Editor","Переключить на редактор"
"Newsletter Problem Reports","Отчеты проблем с письмами"
"Unsubscribe","Отказаться"
"Unsubscribed","Отказавшиеся от подписки"
"Cancel","Отмена"
"Newsletter unsubscription success","Отмена подписки на новости успеха"
"Unsubscribe Selected","Отменить подписку для выбранных"
"Cancelled","Отменено"
"Sender","Отправитель"
"Success Email Sender","Отправитель успешного письма"
"Sender Email","Отправитель письма"
"Confirmation Email Sender","Отправитель письма о подтверждении"
"Unsubscription Email Sender","Отправитель письма об отмене подписки"
"Sending","Отправка"
"Sent","Отправлено"
"Newsletter Queue","Очередь рассылки"
"Queue Finish","Очередь готова"
"Processed","Обработано"
"Sending Options","Опции отправки"
"Customer Lastname","Абонент фамилия"
"Back","Назад"
"New Template","Новый шаблон"
"New Newsletter Template","Новый шаблон письма"
"Cannot save your subscription: %s","Не удается сохранить вашу подписку: %s"
"Cannot delete template","Не удается удалить шаблон"
"Cannot delete subscriber","Не удается удалить подписчика"
"Cannot mark as received subscriber","Не удается отметить как подписанного пользователя"
"Not activated","Не активировано"
"No subscribers selected","Не выбраны подписчик"
"Not Sent","Не отправлено"
"Need to Confirm","Необходимо подтверждение"
"Invalid subscriber ID","Неправильный ID подписчика"
"Invalid subscription ID","Неправильный ID подписки"
"Invalid subscription confirmation code","Неправильный код подтверждения подписки"
"Newsletter","Рассылка"
"Newsletter Section","Раздел рассылки"
"Edit Template","Редактировать шаблон"
"Edit Queue","Редактировать очередь"
"Status","Статус"
"Queue Start","Старт очереди"
"Reset","Сброс"
"Save Template","Сохранить шаблон"
"Save And Resume","Сохранить и возобновить"
"Save As","Сохранить как"
"Save Newsletter","Сохранить письмо"
"Template Content","Содержимое шаблона"
"Create Newsletter Template","Создать шаблон письма"
"Message","Сообщение"
"Thank you for your subscription","Спасибо за то что подписались на нашу рассылку"
"Type","Тип"
"Template Type","Тип шаблона"
"Error Text","Текст ошибки"
"Subject","Тема"
"Template Subject","Тема шаблона"
"Queue Subject","Тема очереди"
"Set Return-Path","Установите обратный путь"
"Delete Template","Удалить шаблон"
"Delete Selected Problems","Удалить выбранные проблемы"
"Form was filled incorrectly","Форма была заполнена неправильно"
"Subscribers From","Форма подписки"
"Success Email Template","Шаблон успешного письма"
"No Templates Found","Шаблон не найден"
"Confirmation Email Template","Шаблон письма о подтверждении"
"Unsubscription Email Template","Шаблон письма об отмене подписки"
"Newsletter Templates","Шаблоны рассылок"
"Email","Эл. почта"
"Store","Магазин"
"Edit Newsletter Template","Изменить шаблон письма"
"Edit Newsletter","Изменить письмо"
"Template Name","Имя шаблона"
"Sender Name","Имя отправителя"
"Customer Firstname","Имя пользователя"
"Template Information","Информация о шаблоне"
"Queue Information","Информация очереди"
"Newsletter subscription confirmation","Информационный бюллетень подтверждения подписки"
"Newsletter subscription success","Информационный бюллетень подписки успеха"
"Confirmation request has been sent","Запрос на подтверждение был отправлен"
"Are you sure that you want to delete this template?","Вы уверены, что хотите удалить этот шаблон?"
"Are you sure that you want to strip all tags?","Вы уверены, что вы хотите, сбросить все теги?"
"Do you really want to cancel the queue?","Вы действительно хотите отменить очередь?"
"Invalid queue selected","Выбрана неверная очередь"
"Selected problems successfully deleted","Выбранные проблемы успешно удалены"
"Selected problem subscribers successfully unsubscribed","Выбранные проблемные подписчики были успешно отписаны от рассылки"
"Please select subscriber(s)","Выберите абонента (ов)"
"Your subscription was successfully confirmed","Ваша подписка был успешно подтверждена"
"You have been successfully unsubscribed.","Ваша подписка была успешно отменена."
"Subscription Options","Варианты подписки"
"Enter your email address","Введите ваш адрес эл. почты"
"Please enter new template name","Введите имя нового шаблона"
"Please enter a valid email address","Введите правильный E-mail"
"Store View","Вид магазина"
"Return Html Version","Возвратить HTML версию"
"There was an error while saving your subscription","Возникла ошибка при сохранении вашей ошибки"
"There was a problem with the un-subscription.","Возникла проблема с отменой подписки."
"There was a problem with the subscription","Возникла проблема с подпиской"
"There was a problem with the subscription: %s","Возникла проблема с подпиской: %s"
"Resume","Возобновить"
"Website","Веб-сайт"
"Guest","Гость"
"Date Added","Дата добавления"
"Queue Date Start","Дата запуска очереди"
"Date Updated","Дата обновления"
"Add to Queue","Добавить в очередь"
"Add New Template","Добавить новый шаблон"
"Action","Действие"
