"API Login ID","API Login ID"
"Authorize and Capture","Authorize and Capture"
"Authorize.net","Authorize.net"
"Merchant's email","Email продавца"
"Email customer","Email пользователя"
"Payflow Pro","Payflow Pro"
"URL","URL"
"Transaction key","Ключ транзакции"
"Credit Card Verification","Проверка кредитной карты"
"Partner","Партнер"
"Password","Пароль"
"Proxy Port","Порт прокси сервера"
"User","Пользователь"
"Payment authorization error.","Ошибка авторизации оплаты"
"Error in payment gateway","Ошибка в шлюзе оплаты"
"Error in retrieving the transaction","Ошибка в поиске транзакции"
"Error in authorizing the payment","Ошибка во время авторизации платежа"
"Gateway request error: %s","Ошибка запроса шлюза: %s"
"Error in refunding the payment","Ошибка при возврате платежа"
"Error in refunding the payment.","Ошибка при возврате платежа"
"Error in capturing the payment","Ошибка при получения платежа"
"Debug","Отладка"
"Voided transaction","Отмененные транзакции"
"Payment from Specific countries","Оплата из выбранных стран"
"Payment from applicable countries","Оплата из доступных стран"
"Proxy Host","Адрес прокси сервера"
"New order status","Новый статус заказа"
"Invalid amount for authorization","Неверная сумма для авторизации"
"Invalid amount for authorization.","Неверная сумма для авторизации."
"Invalid transaction id","Неправильный ID транзакции"
"Fraud order status","Сомнительный статус заказа"
"Payment authorization transaction has been declined.","Транзакция была отклонена в момент авторизации оплаты"
"Credit Card Types","Типы кредитных карт"
"Authorize Only","Только авторизировать"
"Test mode","Тестовый режим"
"TENDER","ТЕНДЕР"
"Sort order","Упорядочить заказы"
"VERBOSITY","МНОГОСЛОВИЕ"
"Maximum Order Total","Максимальная сумма заказа"
"Minimum Order Total","Минимальная сумма заказа"
"Use Proxy","Использовать прокси"
"Title","Заголовок"
"Enabled","Включено"
"Payment Action","Действие оплаты"
"Merchant Login","Логин продавца"
