"PayPal Email","PayPal Email"
"PayPal Account","PayPal аккаунт"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Qty","Кол-во"
"Billing Information","Платежная информация"
"Submitting order information...","Передача информации о заказе...."
"Review Order","Обзор заказа"
"Update Shipping Method","Обновить способ доставки"
"Shipping Address","Адрес доставки"
"Product Name","Название товара"
"Place an Order","Разместить заказа"
"Edit Shopping Cart","Редактировать корзину"
"Shipping Method","Способ доставки"
"Items in Your Shopping Cart","Товары в Вашей корзине"
"Price","Цена"
"Email","Эл. почта"
"Payment Method","Метод поалты"
"Subtotal","Итого"
"Change Payment Method","Изменить способ оплаты"
"Change Shipping Address","Изменить адрес доставки"
"Shipping Information","Информация о доставке"
"You will be redirected to Paypal in a few seconds.","Вы будете перенаправлены на сайт Paypal через несколько секунд."
"You will be redirected to PayPal website when you place an order.","Компания USA Trade Pro-используєт систему Paypal для обработки платежей."
"Please select a shipping method...","Выберите способ доставки"
"Your billing address will be ignored and you will be redirected to PayPal website","Ваш платежный адрес будет проигнорирована, и Вы будете перенаправлены на сайт PayPal"
"Incl. Tax","Вкл. Налог"
"No shipping method required.","Доставка не требуется."
