"CSV","CSV"
"Default Recently Compared Products count","Default Recently Compared Products count"
"Default Recently Viewed Products count","Default Recently Viewed Products count"
"Excel","Excel"
"ID","ID"
"Products Sold","Products Sold"
"Product Sku","SKU товара"
"Total Invoiced","Total Invoiced"
"Total Invoiced Captured","Total Invoiced Captured"
"Total Invoiced not Captured","Total Invoiced not Captured"
"Bought from wishlists","Куплено из списка отмеченных товаров"
"Coupons","Купоны"
"Shopping Cart","Корзина доставки"
"Number of wishlists: %s","Количество списков с отмеченными товарами: %s"
"Number of Unique Tags","Количество уникальных меток"
"Number of Items","Количество товаров"
"Quantity of Items","Количество товаров"
"Number of items bought from a wishlist: %s","Количество товаров купленных из списка отмеченных товаров: %s"
"Number of times deleted","Количество раз удалено"
"Number of times wishlists have been shared (emailed): %s","Количество раз, когда список отмеченных товаров был отправлен по email: %s"
"Number of wishlist referrals: %s","Количество рефералов полученных через список отмеченных товаров: %s"
"Stock Qty","Количество в наличии"
"Number of Ivoiced Orders","Количество выставленных счетов"
"Number Fulfilled","Количество выполненных"
"Number of Refunded Orders","Количество возвращенных заказов"
"Number Added","Количество добавленных"
"Number of Orders","Количество заказов"
"Number Of Historical Uses","Количество из использований из истории"
"Number Purchased","Количество куплено"
"Number of New Accounts","Количество новых учетных записей"
"Number Of Reviews","Количество отзывов"
"Number of Reviews","Количество отзывов"
"Number Viewed","Количество просмотрено"
"Number of wishlist conversions: %s","Количество переходов к списку отмеченных товаров: %s"
"Applied Coupon","Применяемый сертификат"
"Submitted In","Принято"
"Products","Продукты"
"Sales","Продажи"
"Your Recently Compared","Предыдущие сравнения"
"Subtotal","Cумма"
"Last Review","Последний отзыв"
"Hits","Посещения"
"Tag Detail","Подробности метки"
"Tag ""%s"" details","Подробности метки ""%s"
"Search Terms","Поисковые запросы"
"Customer","Покупатель"
"Customers","Покупатели"
"Purchases","Покупки"
"Show for Current","Показать для текущего"
"Customers that have wishlist: %s%","Пользователи имеющие отмеченные товары: %s%"
"Customers by orders total","Пользователи по сумме заказов"
"Customers by number of orders","Пользователи по количеству заказов"
"Popular Tags","Популярные теги"
"Popularity","Популярность"
"Carrier/Method","Перевозчик/метод"
"Wishlist Report","Отчет о списке отмеченных товаров"
"Poducts Report","Отчет о товарах"
"Products Report","Отчет о товарах"
"Sales Report","Отчет о продажах"
"Customers Report","Отчет о пользователях"
"Reports","Отчеты"
"Review","Отзыв"
"Reviews","Отзывы"
"Products Reviews","Отзывы о продуктах"
"Product Reviews","Отзывы о продукте"
"Reviews for %s","Отзывы по %s"
"Customers Reviews","Отзывы покупателей"
"Submitted On","Отправлено"
"Number of Total Tags","Общее количество меток"
"Updated at","Обновлено"
"Title","Название"
"Product Name","Название продукта"
"Most viewed","Наиболее просматриваемые"
"Most Viewed","Наиболее посещаемые"
"Tax","Налог"
"New Accounts","Новые аккаунты"
"Out of stock","Нет в наличии"
"Recently Compared Products","Недавно сравниваемые товары"
"Recently Viewed Products","Недавно просмотренные товары"
"Recently Viewed/Compared Products","Недавно просмотренные/Сравниваемые"
"Results","Результаты"
"Rate","Рейтинг"
"Link","Ссылка"
"Avg. approved rating","Средний утвержденный рейтинг"
"Avg. rating","Средний рейтинг"
"Downloads","Скачиваний"
"Discounts","Скидки"
"Created at","Создано"
"Wishlists","Список отмеченных товаров"
"Products in carts","Товары в корзинах"
"Items in Cart","Товаров в корзине"
"Tag","Тег"
"Product Tags","Теги продукта"
"Customer Tags","Теги пользователя"
"Customers Tags","Теги пользователей"
"Invalid date specified","Указана неверная дата"
"Last Name","Фамилия"
"Price","Цена"
"Number Of Uses","Число использований"
"Number of Views","Число просмотров"
"Email","Эл. почта"
"Low stock","Малое количество в наличии"
"Month","Месяц"
"Products Tags","Метки товаров"
"Tags submitted to %s","Метки, отправленные для %s"
"Tags submited by %s","Метки,отправленные %s"
"Tag use","Использование метки"
"First Name","Имя"
"Name","Имя"
"Tag Name","Имя тега"
"Customer Name","Имя покупателя"
"Abandoned carts","Заброшенные корзины"
"Wishlist vs. Regular Order","Зависимость списка отмеченных товаров с регулярными заказами"
"Orders","Заказы"
"Quantity Ordered","Заказанное количество"
"Items Ordered","Заказано товаров"
"Bestsellers","Бестселлеры"
"Add to Wishlist","В список желаний"
"Add to Cart","В корзину"
"Carts","В корзине"
"Total refunded","Все возвраты"
"Total","Всего"
"Total Tags","Всего тегов"
"Total Refunded","Всего возвращено"
"Tax Amount","Всего налог"
"Total invoiced","Всего платежей"
"Total Shipping","Всего по доставке"
"Your Recently Viewed","Вы недавно смотрели"
"Invoiced","Выставлено счетов-фактур"
"Visible In","Видимы в"
"Refunded","Возвращено"
"Online Refunded","Возвращено через интернет"
"Offline Refunded","Возвращено offline"
"Guest","Гость"
"Year","Год"
"Shipping","Доставка"
"Revenue","Доход"
"Add to Compare","Добавить для сравнения"
"Detail","Детали"
"Action","Действие"
"Day","День"
