"%s - Discounts and Coupons","%s — Скидки и купоны"
"%s - Special Discounts","%s — Специальные скидки"
"%s has reached a quantity of %s.","%s has reached a quantity of %s."
"%s RSS Feed","%s RSS Feed"
"%s's Wishlist","%s's Wishlist"
"Cannot retrieve the wishlist","Cannot retrieve the wishlist"
"Category Feeds","Category Feeds"
"click <a href=""%s"">here</a> to view the review","click <a href=""%s"">here</a> to view the review"
"Customer Order Status Notification","Customer Order Status Notification"
"Error in processing xml. %s","Error in processing xml. %s"
"Get Feed","Get Feed"
"Gift Message","Gift Message"
"Grand Total","Grand Total"
"Miscellaneous Feeds","Miscellaneous Feeds"
"New Orders","New Orders"
"New Products","New Products"
"New Products from %s","New Products from %s"
"Notified Date: %s<br/>","Notified Date: %s<br/>"
"Pending product review(s)","Pending product review(s)"
"Product: ""%s"" review By: %s","Product: ""%s"" review By: %s"
"Product: <a href=""%s"">%s</a> <br/>","Product: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Products tagged with %s"
"Review: %s <br/>","Review: %s <br/>"
"RSS","RSS"
"Rss Config","Rss Config"
"RSS Feeds","RSS Feeds"
"Rss Feeds Section","Rss Feeds Section"
"RSS testing","RSS testing"
"Special Products","Special Products"
"Special/Discount Products","Special/Discount Products"
"Store: %s <br/>","Store: %s <br/>"
"Summary of review: %s <br/>","Summary of review: %s <br/>"
"There are no Rss Feeds","There are no Rss Feeds"
"There are no Rss Feeds.","There are no Rss Feeds."
"To:","To:"
"Top Level Category","Top Level Category"
"Total Products: %s","Total Products: %s"
"Total: %s<br/>","Total: %s<br/>"
"Coupons/Discounts","Купоны/Скидки"
"Catalog","Каталог"
"Comment: %s<br/>","Комментарий: %s<br/>"
"Subtotal","Предварительная сумма"
"From:","От:"
"Tax","Налог"
"Low Stock Products","Новинки "
"Enable RSS","Разрешить RSS"
"Discount ","Скидка"
"Message:","Сообщение:"
"Wishlist","Список желаний"
"Tags Products","Теги товаров"
"Current Status: %s<br/>","Текущее состояние: %s<br/>"
"Customer Name: %s","Имя покупателя: %s"
"Order # %s Notification(s)","Заказ # %s Notification(s)"
"Order #%s created at %s","Заказ #%s created at %s"
"Purchased From: %s","Заказоно с: %s"
"Shipping & Handling","Доставка и Упаковка"
"Details for %s #%s","Детали по %s #%s"
