"Description: %s","Description: %s"
"Expire at: %s","Expire at: %s"
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"Name: %s","Name: %s"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Apply","Применить"
"Please choose a condition to add...","Пожалуйста, выберите условие, чтобы добавить ..."
"Please choose an action to add...","Пожалуйста, выберите действие, чтобы добавить ..."
"is one of","Одно из"
"Start at: %s","Начать в: %s"
"does not contain","Не содержит"
"is not","Не равно"
"is not one of","Не равно из"
"is","Равно"
"contains","Содержит"
"Remove","Удалить"
"by","до"
"to","до"
"equals or less than","Меньше либо равно чем"
"less than","Менее чем"
"TRUE","ИСТИНА"
"greater than","Больше чем"
"equals or greater than","Больше либо равно чем"
"Open Chooser","Выбрать"
"Perform following actions","Выполнить следующие действия"
"ALL","ВСЕ"
"Add","Добавить"
"If %s of these conditions are %s:","Если %s из этих условий %s:"
"FALSE","ЛОЖЬ"
"ANY","ЛЮБОЕ"
