"%s / %s rate:","%s / %s rate:"
"%s order(s) successfully put on hold","%s order(s) successfully put on hold"
"%s order(s) successfully released from holding status","%s order(s) successfully released from holding status"
"%s for %s","%s для %s"
"%s order(s) successfully canceled","%s заказ(ов) отменен(о)"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"* - Enter custom price including tax","* - Enter custom price including tax"
"Backordered","Backordered"
"Can not add order history.","Can not add order history."
"Capture invoice","Capture invoice"
"Capture Offline","Capture Offline"
"Capture Online","Capture Online"
"Credit Memo # ","Credit Memo # "
"Credit Memo Comment Email Template for Guest","Credit Memo Comment Email Template for Guest"
"Credit Memo Email Template for Guest","Credit Memo Email Template for Guest"
"Credit Memo Update","Credit Memo Update"
"Credit Memo Update for Guest","Credit Memo Update for Guest"
"Credit Memos","Credit Memos"
"Custom Options","Custom Options"
"Custom Price","Custom Price"
"Customer's Current Activities","Customer's Current Activities"
"Description message","Description message"
"Edit Gift Messsage","Edit Gift Messsage"
"Email Copy of Shipment","Email копия для доставки"
"Shipment email not sent","Email отгрузки не отправлен"
"Shipment email sent","Email отгрузки отправлен"
"Email Order Confirmation","Email подтверждения заказа"
"Error to show in shopping cart","Error to show in shopping cart"
"Hold order","Hold order"
"ID","ID"
"If empty, the default description above will be used","If empty, the default description above will be used"
"If empty, the default error above will be used","If empty, the default error above will be used"
"Incl. Tax","Incl. Tax"
"Invalid carrier specified.","Invalid carrier specified."
"Invalid item option format","Invalid item option format"
"Invalid renderer model","Invalid renderer model"
"Invalid request for adding product to quote","Invalid request for adding product to quote"
"Invoice and Packing Slip Design","Invoice and Packing Slip Design"
"Invoice can not be canceled","Invoice can not be canceled"
"Invoice can not be captured","Invoice can not be captured"
"Invoice can not be void","Invoice can not be void"
"Invoice cancel problem","Invoice cancel problem"
"Invoice capture problem","Invoice capture problem"
"Invoice Comment Email Template for Guest","Invoice Comment Email Template for Guest"
"Invoice Email Template for Guest","Invoice Email Template for Guest"
"Invoice Update","Invoice Update"
"Invoice Update for Guest","Invoice Update for Guest"
"Invoice void problem","Invoice void problem"
"Item object is not specified.","Item object is not specified."
"Item option with code %s already exist","Item option with code %s already exist"
"Item options declare error","Item options declare error"
"Item ordered qty","Item ordered qty"
"Item Status","Item Status"
"Items options declare error.","Items options declare error."
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)"
"Logo for HTML print view","Logo for HTML print view"
"Logo for PDF print-outs (200x50)","Logo for PDF print-outs (200x50)"
"Multi-address description message","Multi-address description message"
"Multi-address error to show in shopping cart","Multi-address error to show in shopping cart"
"New Credit Memo for Guest","New Credit Memo for Guest"
"New Invoice for Guest","New Invoice for Guest"
"New Order Confirmation Template for Guest","New Order Confirmation Template for Guest"
"Not Capture","Not Capture"
"separate by "",""","разделяется "","""
"On Hold","On Hold"
"Order API","Order API"
"Order Comment Email Template for Guest","Order Comment Email Template for Guest"
"Order Credit Memos","Order Credit Memos"
"Order invoice","Order invoice"
"Order Invoices","Order Invoices"
"Order object is not specified.","Order object is not specified."
"Order Update for Guest","Order Update for Guest"
"Order was successfully released from holding status.","Order was successfully released from holding status."
"Original Price","Original Price"
"Payment Failed","Payment Failed"
"PDF object is not specified.","PDF object is not specified."
"PDF Packingslips","Pdf packingslips"
"PDF page object is not specified.","PDF page object is not specified."
"PDF Print-outs","PDF Print-outs"
"PDF Credit Memos","PDF возвраты платежей"
"PDF Invoices","PDF платежи"
"Pending Payment","Pending Payment"
"Pending PayPal","Pending PayPal"
"Refund Shipping","Refund Shipping"
"Refund Totals","Refund Totals"
"Refunded","Refunded"
"Retrieve invoice info","Retrieve invoice info"
"Retrieve invoice information","Retrieve invoice information"
"Retrieve list of invoices by filters","Retrieve list of invoices by filters"
"Retrieve list of orders by filters","Retrieve list of orders by filters"
"Retrieve list of shipments by filters","Retrieve list of shipments by filters"
"Retrieve order information","Retrieve order information"
"Retrieve orders info","Retrieve orders info"
"Retrieve shipment info","Retrieve shipment info"
"Retrieve shipment information","Retrieve shipment information"
"New Order RSS","RSS новых заказов"
"Sales Emails Section","Sales Emails Section"
"Save and Close Message","Save and Close Message"
"Send Order Email Copy Method","Send Order Email Copy Method"
"Shipment Comment Email Template for Guest","Shipment Comment Email Template for Guest"
"Shipment Email Template for Guest","Shipment Email Template for Guest"
"Shipment Update","Shipment Update"
"Shipment Update for Guest","Shipment Update for Guest"
"Signed Up From","Signed Up From"
"SKU","SKU"
"Sku","Sku"
