"Customer Groups","Customer Groups"
"ID","ID"
"NOT LOGGED IN","NOT LOGGED IN"
"Products subselection","Products subselection"
"To Fixed Amount","К фиксированной сумме"
"To Percentage","К проценту"
"To Percentage of the original price","К проценту от первоначальной цены"
"Buy X get Y free (discount amount is Y)","Купи X получи Y бесплатно (сумма скидки Y)"
"Catalog","Каталог"
"Coupon Code","Код сертификата"
"Coupon code","Код сертификата"
"Quantity in cart","Количество в корзине"
"Row total in cart","Количество позиций в корзине"
"Conditions combination","Комбинация условий"
"Product attribute combination","Комбинация атрибутов продукта"
"Rule was successfully saved","Правило успешно сохраненно"
"Rule was successfully deleted","Правило успешно удалено"
"Apply","Применить"
"Apply to","Применить к"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Применить правило только для товаров в корзине, удовлетворяющим следующим условиям (оставьте пустым для всех товаров)"
"Apply the rule to cart items matching the following conditions","Применить правило к товарам в корзине, соответствующим следующим условиям"
"Apply the rule only if the following conditions are met (leave blank for all products)","Применить правило, только если выполняются следующие условия (оставьте пустым для всех товаров)"
"Priority","Приоритет"
"Promotions","Предложения"
"By Fixed value","По фиксированным значениям"
"To Date","По дату"
"By Percentage","По процентам"
"Stop further rules processing","Остановить использование правила"
"General Information","Основная информация"
"Total Weight","Общий вес"
"Total Items Quantity","Общее количество товаров"
"Update the Product","Обновить товар"
"Update product's %s %s: %s","Обновить товары %s %s: %s"
"Update prices using the following information","Обновить цены, используя следующую информацию"
"Public In RSS Feed","Опубликовать в RSS потоке"
"Description","Описание"
"Description: %s","Описание: %s"
"Cart Attribute","Атрибут корзины"
"By Fixed Amount","На фиксированную сумму"
"By Percentage of the original price","На процент от первоначальной цены"
"Date Start","Начало даты"
"Start at: %s","Начиная с: %s"
"Customer is new buyer: %s","Новый покупатель: %s"
"New Rule","Новое правило"
"Inactive","Не активно"
"No","Нет"
"Unable to find a page to delete","Невозможно найти страницу для удаления"
"Discount amount","Размер скидки"
"Shipping Region","Регион доставки"
"Edit Rule","Редактировать правило"
"Edit Rule '%s'","Редактировать правило '%s'"
"From Date","С даты"
"Shipping Country","Страна доставки"
"The page you are trying to save no longer exists","Страница, которую Вы пытаетесь сохранить более не существует"
"Status","Статус"
"Percent of product price discount","Скидка в процентах от цены продукта"
"Save Rule","Сохранить правило"
"Special price","Специальная цена"
"For matching items only","Только для соответствующих товаров"
"Conditions","Условия"
"Delete Rule","Удалить правило"
"Fixed amount discount","Фиксированная сумма скидки"
"Fixed amount discount for whole cart","Фиксированная сумма скидки на всю корзину"
"To Fixed Value","Фиксированное значение"
"Price in cart","Цена в корзине"
"Shopping Cart Price Rules","Ценовые правила для корзины"
"Shopping Cart Price Rule","Ценовое правило для корзины"
"Shipping State/Province","Штат/район доставки"
"Discount Qty Step (Buy X)","Шаг количества для скидки (купить X)"
"Maximum Qty Discount is Applied to","Максимальное количество скидки применяется к"
"Shipping Method","Метод доставки"
"Payment Method","Метод оплаты"
"Expire at: %s","Истекает: %s"
"Uses per coupon","Использований с сертификатом"
"Uses per customer","Использований пользователями"
"Subtotal","Итого"
"Rule Name","Имя "
"Name: %s","Имя: %s"
"Rule Information","Информация о правиле"
"Shipping Postcode","Индекс доставки"
"Customer registered: %s","Зарегистрированный покупатель: %s"
"Free shipping","Бесплатная доставка"
"Yes","Да"
"Date Expire","Дата истекает"
"This rule no longer exists","Данное правило более не существует"
"For shipment with matching items","Для доставки с соответствующими товарами"
"Add New Rule","Добавить новое правило"
"Active","Действующее"
"Actions","Действия"
