"Email Address","Email адрес"
"Email Address:","Email адрес:"
"Some problems with data.","Some problems with data."
"Recipient:","Получатель:"
"Send email","Отправить email"
"Email to a Friend","Отправить другу"
"Send product to a friend","Отправить другу"
"Sender:","Отправитель:"
"Limit Sending By","Ограничить отправку до"
"Some emails was not sent","Некоторые письма не были отправлены "
"Allow for Guests","Разрешено для гостей"
"Link to a friend was sent.","Ссылка отправлена другу"
"Message:","Сообщение:"
"Remove Email","Удалить Email"
"Email templates","Шаблоны Email"
"Email:","Эл. почта:"
"Maximum %d email addresses allowed.","Макс %d кол-во email адресов."
"Max Products Sent in 1 Hour","Макс. Кол-во продуктов отправляемых за 1 час"
"Max Recipients","Макс. Кол-во получателей"
"Name","Имя"
"Name:","Имя:"
"You cannot email this product to a friend","Вы не можете отправить письмо про этот товар другу"
"You cannot send more than %d times in an hour","Вы не можете отправлять письма более чем %d раз в час"
"Select email template","Выбрать email шаблон"
"Enabled","Включено"
"Add Recipient","Добавить получателя"
