"Google Sitemap","Google Sitemap"
"Google Sitemap Section","Google Sitemap Section"
"ID","ID"
"Sitemap ""%s"" has been successfully generated","Карта ""%s"" успешно сгенерирована"
"Sitemap","Карта сайта"
"Sitemap was successfully saved","Карта сайта была успешно сохранена"
"Sitemap was successfully deleted","Карта сайта была удален"
"Hourly","Каждый час"
"Path","Путь"
"Priority","Приоритет"
"Priority must be between 0 and 1","Приоритет должен быть между 0 и 1"
"CMS Pages Options","Параметры CMS страниц"
"Last Time Generated","Последнее время генерации"
"Please make sure that ""%s"" is writable by web-server.","Пожалуйста, убедитесь что ""%s"" доступна для записи."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Пожалуйста, в имени файла используйте символы (а-я или А-Я), цифры (0-9) разделенные символом (_). Пробелы или другие символы запрещены."
"Error Email Template","Ошибка в шаблоне сообщения"
"Error Email Sender","Ошибка в адресе отправителя"
"Error Email Recipient","Ошибка в адресе получателя"
"Sitemap generate Warnings","Ошибки генерации карты сайта"
"Generation Settings","Общие настройки"
"Products Options","Опции товаров"
"Categories Options","Настройки разделов"
"Never","Никогда"
"New Sitemap","Новая карта сайта"
"Unable to find a sitemap to delete","Не удалось найти карту сайта для удаления"
"Unable to generate a sitemap","Невозможно сгенерировать карту сайта"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Невозможно сохранить файл ""%s"". Убедитесь, что папка ""%s"" доступна для записи браузером."
"Unable to find a sitemap to generate","Невозможно найти карту для генерации"
"Edit Sitemap","Редактировать карту сайта"
"Link for Google","Ссылка на Google"
"Generate","Сгенерировать"
"Please create the specified folder ""%s"" before saving the sitemap.","Создайте указанную папку ""%s"" до сохранения карты сайта."
"Please define correct path","Укажите правильный путь"
"Frequency","Частота"
"This sitemap no longer exists","Эта карта сайта больше не существует"
"Filename","Имя файла"
"Always","Всегда"
"Start Time","Время начала"
"Store View","Вид магазина"
"Enabled","Включено"
"Valid values range from 0.0 to 1.0","Диапазон правильных значений от 0.0 до 1.0"
"Add Sitemap","Добавить карту сайта"
"Action","Действие"
"Yearly","Ежегодно"
"Daily","Ежедневно"
"Monthly","Ежемесячно"
"Weekly","Еженедельно"
