"# of Uses","# использований"
"%s tag(s) have been accepted for moderation","%s тег(ов) были приняты на рассмотрение модератором"
"Are you sure you want to do this?","Are you sure you want to do this?"
"CSV","CSV"
"General Information","General Information"
"ID","ID"
"Product SKU","Product SKU"
"XML","XML"
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
"Back to Tags List","К листу тегов"
"Back to view Tag","К просмотру тегов"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Продукты с тегом '%s'(<a href='%s'>RSS</a>)"
"ZIP/Post Code","Почтовый индекс"
"Approved","Подтверждено"
"View All","Показать все"
"Customer Since","Пользователь с"
"Customers","Пользователи"
"Popular","Популярные"
"Popular Tags","Популярные теги"
"Popularity","Популярность"
"Tagged in","Отмечено в"
"Customers Tagged '%s'","Отмечено пользователями как '%s'"
"Visible In","Отображаются в"
"SKU","Артикул"
"Click on a tag to view your corresponding products.","Нажмите на тег для просмотра соответствующих продуктов."
"Back","Назад"
"Product Name","Название товара"
"Tag Name","Название тега"
"Tag Name: %s","Название тега: %s"
"New Tag","Новый тег"
"Unable to save your tag. Please, try again later.","Не удалось сохранить ваш тег. Пожалуйста, попробуйте еще раз позднее."
"Unable to save tag(s)","Не удается сохранить тег(и)"
"Unable to remove tag. Please, try again later.","Не удается удалить тег. Пожалуйста, попробуйте еще раз позднее."
"Unable to find any products tagged with '%s' in the current store","Не удается найти товары отмеченные '%s' для текущего магазина"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Результаты поиска для '%s' (<a href='%s'>RSS</a>)"
"Country","Страна"
"Status","Статус"
"View Products","Смотреть товары"
"View Customers","Смотреть пользователей"
"Save Tag","Сохранить тег"
"No matches found.","Соответствий не найдено"
"Thank you. Your tag has been accepted for moderation.","Спасибо. Ваш тег была принят для модерации"
"List","Список"
"Grid","Сетка"
"Products","Товары"
"Products Tagged with '%s'","Товары с тегом '%s'"
"Products tagged with '%s'","Товары с тегом '%s'"
"Tag","Тег"
"Tag ""%s"" has already been added to the product","Тег ""%s"" был добавлен к товару"
"Tag can't be empty.","Тег не может быть пустым."
"Tags","Теги"
"Product Tags","Теги товара"
"Tags Aren't Available","Теги недоступны"
"Pending Tags","Теги, ожидающие подтверждения"
"Tags:","Теги:"
"Telephone","Телефон"
"Search Terms","Условия поиска"
"Delete","Удалить"
"Delete Tag","Удалить теги"
"Last Name","Фамилия"
"Price","Цена"
"Email","Эл. почта"
"My Tags","Мои теги"
"My Recent Tags","Мои последние теги"
"Use spaces to separate tags. Use single quotes (') for phrases.","Используйте пробел для разделения тегов или одиночные кавычки (') для фраз"
"Uses","Использований"
"Change status","Изменить статус"
"Edit Tag","Изменить тег"
"Edit Tag '%s'","Изменить тег '%s'"
"First Name","Имя"
"Name","Имя"
"Block Information","Информация о блоке"
"Tag Information","Информация по тегам "
"Disabled","Запрещено"
"Add to Wishlist","В список желаний"
"Add to Cart","В корзину"
"Pending","В ожидании"
"All Tags","Все теги"
"View All Tags","Все теги"
"Are you sure you want to delete this tag?","Вы уверены, что хотите удалить этот тег?"
"Are you sure that you want to delete this tag?","Вы уверены, что вы хотите удалить этот тег?"
"Are you sure?","Вы уверены?"
"You have not tagged any products yet.","Вы еще не отметили ни одного товара"
"Other people marked this product with these tags:","Другие пользователи отметили этот продукт с этими тегами:"
"Add Tags","Добавить теги"
"Add Your Tags:","Добавить ваши теги:"
"Add New Tag","Добавить новый тег"
"Actions","Действия"
"Action","Действие"
