"-- Please Select --","-- Сделайте выбор --"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Code","Code"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"CSV","CSV"
"Custom price if available","Custom price if available"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Rule","Delete Rule"
"Display","Display"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display full tax summary","Display full tax summary"
"Display Product Prices","Display Product Prices"
"Display Shipping Prices","Display Shipping Prices"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Edit Rule","Edit Rule"
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax","Excl. Tax"
"Excl. Tax:","Excl. Tax:"
"Excluding tax","Excluding tax"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Inc. Tax","Inc. Tax"
"Incl. Tax","Incl. Tax"
"Incl. Tax:","Incl. Tax:"
"Including and excluding tax","Including and excluding tax"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"None","None"
"One of the country has invalid code.","One of the country has invalid code."
"Original price only","Original price only"
"Rate","Rate"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax Classes","Tax Classes"
"Tax Identifier","Tax Identifier"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax Section","Tax Section"
"Tax Titles","Tax Titles"
"XML","XML"
"Tax class was successfully saved","Класс налога был сохранен"
"Tax class was successfully deleted","Класс налога был удален"
"Customer Tax Class","Класс налога для пользователя"
"County","Количество"
"Apply Tax On","Применить налог к"
"Priority","Приоритет"
"Sales","Продажи"
"Zip/Post Code","Почтовый индекс"
"Sort Order","Порядок сортировки"
"Calculation","Подсчет"
"Please select Country","Пожалуйста, выберите страну"
"Please select State","Пожалуйста, выберите штат"
"Please select County","Пожалуйста, выберите округ"
"Customer Tax Classes","Пользовательские классы налога"
"Invalid file format upload attempt","Попытка загрузки неправильного формата файла"
"Error while saving this rate. Please try again later.","Ошибка при сохранении ставки. Пожалуйста, попробуйте еще раз позднее."
"Error while saving this tax class. Class with the same name ","Ошибка при сохранении класса налога. Класс с тем же именем уже существует"
"Error while saving this tax class. Please try again later.","Ошибка при сохранении класса налога. Пожалуйста, попробуйте еще раз позднее."
"Error while saving this tax rule. Please try again later.","Ошибка при сохранении налогового правила. Пожалуйста, попробуйте еще раз позднее."
"Error while deleting this class. Please try again later.","Ошибка при удалении этого класса. Пожалуйста, попробуйте еще раз позднее."
"Error while deleting this tax rule. Please try again later.","Ошибка при удалении этого налогового правила. Пожалуйста, попробуйте еще раз позднее."
"Error while deleting this rate. Please try again later.","Ошибка при удалении этой ставки. Пожалуйста, попробуйте еще раз позднее."
"Error while deleting this rate. Incorrect rate ID","Ошибка при удалении этой ставки. Неправильный ID ставки"
"Back","Назад"
"Tax","Налог"
"Product Tax Class","Налоговый класс товара"
"Product Tax Classes","Налоговые классы товара"
"Tax Rules","Налоговые правила"
"Tax rate was successfully saved","Налоговая ставка была сохранена"
"Tax rate was successfully deleted","Налоговая ставка была удалена"
"Tax rate was successfully imported","Налоговая ставка была импортирована"
"Tax rule was successfully saved","Налоговое правило было сохранена"
"Tax rule was successfully deleted","Налоговое правило было удалено"
"New Class","Новый класс"
"New Tax Rate","Новая ставка налога"
"New Rule","Новое правило"
"Invalid file upload attempt","Неудачная попытка загрузки файла"
"Invalid data for tax rate calculation","Неправильные данные для расчета ставки налога"
"Incorrect rate Data","Неправильная дата ставки"
"Edit Class","Редактировать класс"
"Edit Class '%s'","Редактировать класс '%s'"
"Edit Tax Rate","Редактирование ставки налога"
"Country","Страна"
"Default Country","Страна по умолчанию"
"Tax Rate","Ставка налога"
"Reset","Сброс"
"Save Rate","Сохранить ставку"
"Save Class","Сохранить класс"
"Save Rule","Сохранить правило"
"Delete Rate","Удалить ставку"
"Delete Class","Удалить класс"
"Manage Tax Rates","Управление ставкой налога"
"Manage Customer Tax Classes","Управление другими классами налога"
"Manage Product Tax Classes","Управление классами налога для товаров"
"Manage Tax Rules","Управление правилами налогообложения"
"Shipping prices include tax","Цены доставки с налогом"
"Catalog prices include tax","Цены каталога включая налог"
"State","Штат"
"State/Region","Штат/регион"
"This rule no longer exists","Это правило больше не существует"
"This class no longer exists","Этот класс больше не существует"
"Export Tax Rates","Экспорт ставки налога"
"Name","Имя"
"Class Name","Имя класса"
"Import / Export Tax Rates","Импорт / экспорт ставки налога"
"Import Tax Rates","Импорт налоговых ставок"
"Tax Rate Information","Информация ставки налога"
"Product Tax Class Information","Информация налогового класса продукта"
"Customer Tax Class Information","Информация о классе налога для пользователя"
"Tax Rule Information","Информация о налоговом правиле"
"Are you sure you want to do this?","Вы уверены, что хотите это сделать?"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Вы не можете удалить этот налоговый класс, т.к. он используется в налоговых правилах. Вначале вы должны удалить правила, использующие класс"
"You cannot delete this tax class as it is used for %d products.","Вы не можете удалить этот налоговый класс, т.к. он используется для %d товара(ов)."
"You cannot delete this tax class as it is used for %d customer groups.","Вы не можете удалить этот налоговый класс, т.к. он используется для %d групп пользователей."
"Including tax","Включая налог"
"Add New Tax Rate","Добавить новую налоговую ставку"
"Add New Class","Добавить новый класс"
"Add New Tax Rule","Добавить новый налоговое правило"
